filename,wavenumber,wavenumber_calibrated,sum_withoutIR,sum_withIR,depletion,-ln(depletion),yield_IR
fullrange_depletion_data_C8H6Br0(0)_1880-659,659.0,652.1739,0.0787499547004699,0.0898930095136165,1.0229476564465034,0.0017292124342957,-1.8418745031118058e-07
fullrange_depletion_data_C8H6Br0(0)_1880-659,663.0,656.0091,0.1042907116934657,0.0748129817657172,1.0250662665450367,-0.0028105302006368,3.033405999358576e-07
fullrange_depletion_data_C8H6Br0(0)_1880-659,671.0,663.6795,0.0851081646978855,0.1029566740617156,1.0130420503045336,0.0070384670159041,-7.800363977861623e-07
fullrange_depletion_data_C8H6Br0(0)_1880-659,675.0,667.5147,0.0827849544584751,0.0893648453056812,0.9868750077249948,0.0312762040839187,-3.5124862461977895e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,677.0,669.4322999999999,0.0978185385465622,0.0770408613607287,1.0085290296834268,-0.006610715295962,7.473689764313042e-07
fullrange_depletion_data_C8H6Br0(0)_1880-659,681.0,673.2675,0.099186522886157,0.0964905805885791,0.8488194214653734,0.1673698645116869,-1.9175385769427496e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,685.0,677.1027,0.0955921681597828,0.0766333304345607,0.77216416135679,0.2630475711448093,-3.054163297501002e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,687.0,679.0203,0.0993254650384187,0.0619432954117655,0.6913775343834506,0.3900638502722759,-4.5592486506967924e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,689.0,680.9379,0.0926635423675179,0.0560621863696724,0.5358844847492988,0.606255164165212,-7.133708185472268e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,691.0,682.8555,0.1051465617492795,0.0522485543042421,0.5643154667411955,0.5820718977606787,-6.89511515677637e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,693.0,684.7731,0.0916017880663275,0.0513258026912808,0.6382289128198504,0.4738274034046398,-5.6505763689134075e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,695.0,686.6907,0.1039144471287727,0.0958664147183299,0.7741570260489726,0.2894684043155485,-3.4752343547263935e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,699.0,690.5259,0.0916036684066057,0.0757986200042069,0.9130332308576884,0.0950661659129985,-1.1567449159557588e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,701.0,692.4435,0.0876259887591004,0.0914072673767805,0.9842913297481598,0.0080796428681389,-9.897422346628172e-07
fullrange_depletion_data_C8H6Br0(0)_1880-659,703.0,694.3611,0.1006235778331756,0.0974741205573082,0.9909205014848308,0.0116828527295719,-1.440787042427128e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,707.0,698.1963,0.0914901541545987,0.091763979755342,1.0227702246745738,-0.0239491284589635,2.9935766443771516e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,709.0,700.1139,0.0942340977489948,0.097293569240719,1.006355208751926,-0.0063666754766952,8.012022956307695e-07
fullrange_depletion_data_C8H6Br0(0)_1880-659,711.0,702.0315,0.1004359656944871,0.099588880315423,0.9826237773872342,0.0161655916648867,-2.048106215437968e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,713.0,703.9491,0.090460130944848,0.0904153352603316,1.018729361841443,-0.0159419114857616,2.0334582025822656e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,715.0,705.8667,0.0946743069216609,0.0889688581228256,1.030057234307488,-0.0247756954118255,3.1816856600090184e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,717.0,707.7843,0.0886331284418702,0.1058490918949246,1.019479382553797,-0.0121158211794798,1.5664747448372876e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,719.0,709.7019,0.1029228633269667,0.0959837213158607,0.9738284711705012,0.031694584436072,-4.125696561098901e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,721.0,711.6195,0.0779916942119598,0.070852018892765,1.00312999796486,0.0039905619391412,-5.229865233454359e-07
fullrange_depletion_data_C8H6Br0(0)_1880-659,723.0,713.5371,0.0845544999465346,0.0813940269872546,0.9922661693737734,0.0130331903754626,-1.719704912014779e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,725.0,715.4547,0.0856031328439712,0.1028045574203133,1.037540293957803,-0.0308678086454773,4.100702485984421e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,727.0,717.3723,0.1158878970891237,0.1141927009448409,1.0507924786173837,-0.045748563872433,6.119017615670696e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,731.0,721.2075,0.1138428207486867,0.1094337310642004,1.0092119093518293,-0.0067663113782756,9.174179630437362e-07
fullrange_depletion_data_C8H6Br0(0)_1880-659,735.0,725.0427,0.087608995847404,0.0898100174963474,0.9843888899433544,0.0150173764089669,-2.0640975680543477e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,737.0,726.9603,0.1093418914824724,0.1066396227106452,1.025828536358735,-0.0242357042665298,3.3539448579644785e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,741.0,730.7955,0.080377634614706,0.0884901592507958,1.0084302702975756,-0.0080406827361418,1.1280509296394322e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,743.0,732.7130999999999,0.1121066436171531,0.1109885787591338,1.0517804443889418,-0.0498936167219766,7.047776603252141e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,745.0,734.6307,0.0868408968672156,0.0835440075024962,1.0491090320944625,-0.0444764121646768,6.325729794313656e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,747.0,736.5483,0.0858084838837385,0.1012663263827562,1.0078699003207456,-0.020418812069791,2.924068091850419e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,749.0,738.4659,0.1017052941024303,0.0832271128892898,0.9010870871737268,0.1168111047048989,-1.6843006491168766e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,753.0,742.3011,0.0819241935387253,0.062718978151679,0.6644276731348814,0.4948903020252178,-7.234497748665395e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,755.0,744.2187,0.1019509471952915,0.0429614735767245,0.4925894812006094,0.7431303139866602,-0.0001093830101985593
fullrange_depletion_data_C8H6Br0(0)_1880-659,757.0,746.1363,0.1120574809610843,0.036414218135178,0.4861501669180356,0.7687053163300905,-0.00011392853744320262
fullrange_depletion_data_C8H6Br0(0)_1880-659,761.0,749.9715,0.1027674544602632,0.0737630203366279,0.5578063797943458,0.6419333448977994,-9.645947075794229e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,765.0,753.8067,0.1127171646803617,0.0787069131620228,0.7201080979359237,0.3556693123757151,-5.418668806276807e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,769.0,757.6419,0.0825913865119218,0.0683617843315005,0.821942126580805,0.1700767102496419,-2.6271880621683735e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,771.0,759.5595,0.0925913751125335,0.0771273458376526,0.8255840261525746,0.1927719888686266,-2.9984275590177953e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,773.0,761.4771,0.096497843042016,0.0805529681965708,0.8677531598442543,0.1391659964069438,-2.179657400169682e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,775.0,763.3947,0.1159853655844926,0.1002342887222766,0.8072058562846544,0.209320053008644,-3.301212967922276e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,779.0,767.2299,0.0886135976761579,0.0762235922738909,0.8480129575289206,0.1728471494561194,-2.764053581047328e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,781.0,769.1475,0.1058214586228132,0.0778195820748806,0.9283860617222188,0.0922654419526896,-1.4857207483421688e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,783.0,771.0651,0.0728304572403431,0.0843893196433782,0.971996641203847,0.0451573722756795,-7.322219172081213e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,785.0,772.9827,0.0811949223279953,0.0862668566405773,1.0413185844967925,-0.0316311276920438,5.164719152722624e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,787.0,774.9003,0.0925419796258211,0.0867759920656681,1.0764279203295577,-0.0789122226539456,1.2974669259483402e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,789.0,776.8179,0.0795061290264129,0.0855234805494546,0.9598686475832244,0.0447435467587634,-7.408058485966789e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,791.0,778.7355,0.0963077135384082,0.0896065281704068,0.9356025019619674,0.0703284620556242,-1.1725437595443809e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,793.0,780.6531,0.1239113118499517,0.0981613979674875,0.8712044841342313,0.1444748208670969,-2.42558218477212e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,797.0,784.4883,0.0839521959424018,0.076722796075046,0.8208035067689894,0.1985240033280359,-3.379826311486548e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,799.0,786.4059,0.0976131372153759,0.0733239431865513,0.8711263788898472,0.1443085398367735,-2.4740301199733168e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,801.0,788.3235,0.0795418322086334,0.0764018315821886,0.8973614913415849,0.1141215387785239,-1.9702167857786968e-05
